open,high,low,close,volume,close_time,quote,takers_buy_base,takers_buy_quote,predicted_close,actual_close,abs_error
4962.01,5060.0,4850.0,4921.88,5755.610453,2020-03-16 17:59:59.999000-05:00,28416173.98078555,2815.34392,13908432.73532172,0.032106668,0.030986441,0.0011202265
4921.88,5050.0,4900.51,5028.97,4113.83046,2020-03-16 18:59:59.999000-05:00,20513470.4764192,2260.368676,11274026.39961988,0.033101678,0.03097471,0.0021269675
5028.86,5094.13,4921.45,5070.72,5537.797635,2020-03-16 19:59:59.999000-05:00,27704134.64724815,2822.509778,14128155.65713318,0.03423202,0.03174428,0.0024877414
5070.81,5400.0,5050.3,5189.21,15212.282991,2020-03-16 20:59:59.999000-05:00,79434780.43989298,8027.326356,41949561.92274663,0.03463763,0.03206332,0.0025743097
5189.8,5300.0,5141.81,5281.58,7225.273713,2020-03-16 21:59:59.999000-05:00,37780224.16356234,3596.774016,18806553.39423069,0.033886045,0.034026474,0.00014042854
5281.58,5348.95,5230.13,5311.16,6152.490473,2020-03-16 22:59:59.999000-05:00,32578740.07315298,3125.292059,16553692.70987943,0.033887,0.035420716,0.0015337169
5314.84,5325.0,5205.0,5262.76,4912.779804,2020-03-16 23:59:59.999000-05:00,25832661.72400405,2269.603699,11933897.36535027,0.036565155,0.036766358,0.00020120293
5263.95,5295.32,5236.88,5276.13,3086.852683,2020-03-17 00:59:59.999000-05:00,16273725.21498865,1495.803004,7885594.07898472,0.035422772,0.036383476,0.00096070394
5276.0,5314.8,5219.99,5272.23,3699.775144,2020-03-17 01:59:59.999000-05:00,19455712.73372237,1914.679109,10069823.65682054,0.033305645,0.036869198,0.003563553
5273.4,5415.87,5256.87,5343.72,7331.949709,2020-03-17 02:59:59.999000-05:00,39217135.26047551,3866.073035,20682418.90363246,0.033656508,0.036611862,0.0029553548
5345.19,5440.0,5248.2,5285.01,7875.338605,2020-03-17 03:59:59.999000-05:00,42073747.4686767,3842.935043,20550056.31509743,0.033254445,0.037173767,0.003919322
5282.43,5319.07,5160.0,5228.02,6905.803233,2020-03-17 04:59:59.999000-05:00,36135651.50238656,3460.597024,18105125.92035774,0.033645958,0.03704167,0.0033957139
5227.55,5305.0,5214.0,5293.45,3965.023835,2020-03-17 05:59:59.999000-05:00,20873244.67029632,2119.263808,11156388.47486974,0.033292294,0.03569786,0.0024055652
5295.0,5325.74,5229.08,5267.61,4340.171558,2020-03-17 06:59:59.999000-05:00,22877751.23510856,2102.08563,11084574.69069196,0.034112126,0.0365206,0.0024084747
5266.9,5350.0,5175.0,5206.25,5782.963584,2020-03-17 07:59:59.999000-05:00,30433495.22787675,2877.409966,15153163.79249627,0.03182441,0.036750358,0.0049259476
5206.25,5322.41,5071.8,5090.11,9510.615003,2020-03-17 08:59:59.999000-05:00,49535089.41379572,4321.938867,22521387.66560505,0.032545924,0.035926398,0.0033804737
5090.11,5245.08,5051.0,5229.21,8193.881906,2020-03-17 09:59:59.999000-05:00,42345031.91930854,3978.956578,20570394.16852084,0.03550607,0.034354046,0.0011520237
